country,size,attack_type,attribution,start_of_attack (soa),dwell_time [days],attack_detected (attdet),t2ad_utc_short,soa:t2ad_delta [sec],t2ad:attdet_delta [sec],root_cause,missing_logs,artifacts,lolbins,other,pre-attack_ioc,rdp,initial_access,impact,data_exfil,exfil_volume [GB],date_of_exfil_short,soa-exfil-delta [sec],exfil-attdet-delta [sec],exfil-posted_delta
Brazil,5000+,network breach,,2024-04,85,2024-07,,,,exploit vulnerability,not configured,mimikatz|AnyDesk|Chrome Browser|Notepad++|Fatedier Fast Reverse Proxy (FRP)|Java (java.exe),cmd.exe|certutil.exe|ping.exe|whoami.exe|PowerShell|net.exe|where.exe|sc.exe|taskkill.exe|mshta.exe|RDP|ipconfig.exe|netstat.exe|tasklist.exe|regedit.exe|netsh.exe,vulnerable systems|unprotected systems|exposed internal services|safe mode protection disabled|logs missing|malicious scripts|stop services|web shell|create accounts|delete users|reset passwords|modify local groups,,Yes - Internal only,Exploit Public-Facing Application,Service Stop|Account Access Removal,No evidence,,,,,
Portugal,101-250,ransomware,8Base,2024-07,4,2024-07,2024-07,261403,75122,comped creds,,SoftPerfect Network Scanner|Impacket/atexec|Process Hacker|Python,RDP|Task Scheduler|cmd.exe|svchost.exe|autorun.exe,unprotected systems|SAM dump|pass the hash|brute force attack|disable protection|MFA unavailable|create scheduled task|delete task|install service|disable firewall,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Unknown,,,,,
Philippines,1001-3000,network breach,,2024-07,1,2024-07,2024-07,595232,-516031,comped creds,,Itarian Endpoint Manager|ls|curl|pwd|Bitdefender Endpoint Security,PowerShell|netstat.exe|ipconfig.exe|ping.exe|net.exe|query.exe|WMI|Task Scheduler|curl.exe|cmd.exe|conhost.exe|msiexec.exe|del.exe|netsh.exe|WmiPrvSE.exe,web shell|safe mode protection disabled|unprotected systems|create scheduled task|Lemon Duck|Conficker|delete files|SMB|delete task|install service|SSH|netsh portproxy,,No,Valid Accounts,Data Manipulation,No evidence,,,,,
United States of America,3001-5000,network breach,,2024-07,1,2024-07,2024-07,68334,60,brute force attack,retention,Impacket/atexec|Python,cmd.exe|net.exe|RDP|PowerShell|wbadmin.exe|quser.exe,vulnerable VPN|unprotected systems|logs missing|safe mode protection disabled|create scheduled task|install feature|NTDS dump|remove feature,,Yes - Internal only,External Remote Services,No Impact,No evidence,,,,,
United States of America,1-100,ransomware,Faust,2024-07,3,2024-07,2024-07,263780,1985,brute force attack,cleared,AnyDesk|SoftPerfect Network Scanner|SophosUninstall.exe,RDP|cmd.exe|net.exe|reg.exe|Task Scheduler|PowerShell|regsvr32.exe|mstsc.exe|iexplore.exe|mmc.exe|virtmgmt.msc|PsExec|taskkill.exe|bcdedit.exe|icacls.exe|diskmgmt.msc,unprotected systems|malicious scripts|safe mode protection disabled|tamper protection not configured|modify registry|create accounts|modify local groups|modify domain groups|create scheduled task|logs cleared|logs missing|remove protection|browse network|install service|disable safe mode|disable UAC|remote encryption|MFA unavailable|exposed RDP,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery,No evidence,,,,,
United States of America,501-1000,ransomware,Hunters Intl,2024-06,26,2024-07,2024-06,0,2193445,comped creds,cleared,Rclone|ShareAudit|AnyDesk|WinSCP,RDP|Edge browser|PowerShell|PsExec|quser.exe|Get-Process|wevtutil.exe|cmd.exe,browse network|logs missing|logs cleared|SMB|SFTP|NTDS dump|system hive collected|security hive collected|install service|modify firewall rules|kali (hostname),,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,668,2024-07,1327748,865697,33
United States of America,251-500,ransomware,RansomHub,2024-06,28,2024-07,2024-07,2357978,13527,brute force attack,not configured|cleared,7zip|pscp|Total Commander|AnyDesk|KeePass,RDWeb|RDP|winword.exe|excel.exe|mstsc.exe|Edge browser|net.exe|notepad.exe|ipconfig.exe|nltest.exe|whoami.exe|cmd.exe|ping.exe|ServerManager.exe|mmc.exe|cluadmin.msc|virtmgmt.msc|taskmgr.exe|PowerShell|wevtutil.exe|iisreset.exe,MFA unavailable|remote encryption|ESXi|store passwords in plaintext|create archive|logs missing|EDR killer|disable protection|delete Shadow Copy|uninstall application|logs missing|logs cleared|vulnerable signed driver|install service|browse network|malicious scripts|stop services|delete files|exposed RDP,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|Service Stop|Data Manipulation,Yes,,2024-07,2353344,18161,9
United States of America,1-100,data exfiltration,Unknown,2024-07,1,2024-07,2024-07,40712,1395,brute force attack,cleared,AdvancedRun|mimikatz|SoftPerfect Network Scanner|AnyDesk|Chrome Browser|Rclone,PsExec|RDP|taskmgr.exe|cmd.exe,vulnerable VPN|MFA unavailable|unprotected systems|install service|browse network|logs missing|logs cleared|Mega (all TLDs)|Veeam vulnerability|CVE-2023-27532,,Yes - Internal only,External Remote Services,No Impact,Yes,18.06,2024-07,42094,13,
United States of America,5000+,ransomware,Black Suit,2024-07,8,2024-07,2024-07,742850,2540,comped creds,,Impacket/wmiexec|Chrome Browser|Advanced IP Scanner|scp|chmod|Python,RDP|cmd.exe|reg.exe|winword.exe|excel.exe|powerpnt.exe|mmc.exe|devmgmt.msc|domain.msc|dssite.msc|notepad.exe|PowerShell|control.exe|dsa.msc|compmgmt.msc|gpupdate.exe|ping.exe|winrm.exe|WmiPrvSE.exe|WMI,MFA unavailable|VMware vuln|CVE-2024-37085|vulnerable VPN|encrypt vmdk/vhdx|disable restricted admin|malicious scripts|browse network|reset passwords|SSH|create security group|modify domain groups|ESXi,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Account Access Removal,No evidence,,,,,
United States of America,1-100,ransomware,RansomHub,2024-07,3,2024-07,,,,unprotected host,not configured|cleared,Adobe Acrobat|Atera RMM|Splashtop|FileZilla|Chrome Browser|SoftPerfect Network Scanner,RDP|control.exe|cmd.exe|nslookup.exe|taskmgr.exe|msiexec.exe|taskkill.exe|net.exe|ProcDump|diskpart.exe|echo.exe|notepad.exe|nbtstat.exe|mstsc.exe|route.exe|PsExec|PowerShell|vssadmin.exe|fsutil.exe|wevtutil.exe|bcdedit.exe,logs missing|browse network|stop services|install service|delete files|uninstall application|remove protection|delete Shadow Copy|logs cleared|reboot in Safe Mode|modify file and dir permissions|lsass dump|safe mode protection disabled,,Yes - Internal only,unknown,Data Encrypted for Impact|Inhibit System Recovery|Service Stop|Data Manipulation|System Shutdown/Reboot,Yes,48.64,2024-07,237630,3306,
United States of America,1001-3000,data extortion,Hunters Intl,2024-07,8,2024-07,2024-07,96,674998,exploit vulnerability,cleared,Chrome Browser,RDP|winword.exe|cmd.exe|quser.exe|mstsc.exe|pushd.exe|PowerShell|ntdsutil.exe|del.exe|reg.exe|wevtutil.exe|rundll32.exe|ping.exe|taskmgr.exe|mmc.exe|cluadmin.msc|net.exe|systeminfo.exe|gpupdate.exe|whoami.exe|logoff.exe|dotnet.exe|start.exe|ping.exe|nltest.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|unprotected systems|safe mode protection disabled|vulnerable systems|MFA unavailable|tamper protection not configured|NTDS dump|system hive collected|security hive collected|delete files|modify registry|delete registry keys|logs cleared|logs missing|malicious scripts|remove protection|reset passwords|enable user,,Yes - Both,Exploit Public-Facing Application,Data Encrypted for Impact|Data Manipulation|Account Access Removal,Yes,900,2024-07,675249,-154,71
United States of America,501-1000,ransomware,Lynx,2024-07,3,2024-07,,,,brute force attack,,FileZilla|Advanced IP Scanner|7zip|Megasync|Level RMM|AnyDesk|NetExec|mimikatz|SurfShark VPN,PowerShell|reg.exe|sc.exe|netsh.exe|net.exe|WMI|taskkill.exe|cmd.exe|PsExec|RDP|nslookup.exe,brute force attack|malicious scripts|create archive|Mega (all TLDs)|disable protection|enable RDP|modify registry|modify firewall rules|create accounts|modify local groups|install service|browse network|remove protection,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,335,2024-07,191355,22481,36
Portugal,1-100,ransomware,RansomHub,2024-07,0,2024-07,2024-07,3784,-926,comped creds,limited|encrypted|cleared,,RDP|PowerShell,unprotected systems|create accounts|disable protection|delete Shadow Copy|logs missing|logs cleared|create scheduled task|browse network|install service|delete files,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,No evidence,,,,,
Belgium,1-100,data extortion,Mad Liberator,2024-07,0,2024-07,2024-07,11580,1080,phishing,,AnyDesk|Chrome Browser|Advanced IP Scanner|WinSCP,RDP|cmd.exe|notepad.exe,disable input|browse network|MFA unavailable,,Yes - Internal only,External Remote Services,No Impact,Yes,27,2024-07,2940,9720,0
Singapore,101-250,network breach,,2024-07,2,2024-07,,,,brute force attack,cleared,Advanced IP Scanner|Bulk Crap Uninstaller|AccountRestore|Chrome Browser|Advanced Port Scanner|7zip|GMER,RDP|net.exe|WMI|notepad.exe|mstsc.exe|cmd.exe,brute force attack|logs cleared|create accounts|remove protection|exposed RDP|MFA unavailable|browse network|malicious scripts|logs missing,,Yes - Both,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Canada,251-500,network breach,,2024-07,0,2024-07,,,,unknown,,AutoIt|OpenSSH,Edge browser|RDP|PowerShell|quser.exe|ping.exe|mstsc.exe|taskmgr.exe|WMI|cmd.exe|ipconfig.exe|nltest.exe|mmc.exe|taskschd.msc|net.exe,unprotected systems|tamper protection not configured|safe mode protection disabled|create scheduled task|malicious scripts|SSH|reverse shell,,Yes - Internal only,unknown,No Impact,No evidence,,,,,
United States of America,501-1000,network breach,,2024-07,2,2024-08,,,,comped creds,,Impacket/secretsdump|Python,svchost.exe,unprotected systems|MFA unavailable|delete files,,No,External Remote Services|Valid Accounts,Data Manipulation,No evidence,,,,,
United States of America,101-250,ransomware,Akira,2024-08,0,2024-08,2024-08,0,17037,exploit vulnerability,unavailable,WinRAR|SoftPerfect Network Scanner|Advanced IP Scanner|Advanced Port Scanner|Chrome Browser|OpenSSH|AnyDesk|WinSCP,RDP|PowerShell|fontdrvhost.exe|mstsc.exe|mmc.exe|dnsmgmt.msc|cmd.exe|rdpinput.exe|ping.exe|rundll32.exe|TabTip.exe,SonicWall vuln|CVE-2024-40766|0day|install service|create archive|easyupload.io|delete Shadow Copy|logs missing|modify firewall rules|disable protection|add exclusions|SSH|browse network|delete files,,Yes - Internal only,External Remote Services|Exploit Public-Facing Application,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,Yes,,2024-08,19428,-2391,
United States of America,101-250,data exfiltration,Unknown,2024-07,6,2024-08,2024-07,961,537729,brute force attack,unavailable,Impacket/wmiexec|FileZilla|SQLite|Python,cmd.exe|reg.exe|RDP|mmc.exe|dsa.msc|ping.exe|WMI,unprotected systems|MFA unavailable|vulnerable systems|AD Auth vuln|CVE-2021-42287|modify registry|disable restricted admin|logs missing|malicious scripts|delete files|SFTP,,Yes - Internal only,External Remote Services,Data Manipulation,Yes,56,2024-08,615773,-77082,
United States of America,1-100,ransomware,Akira,2024-08,0,2024-08,2024-08,0,25532,comped creds,,Impacket|AnyDesk|WinRAR|Python,cmd.exe|quser.exe|RDP|net.exe|Edge browser|notepad.exe|whoami.exe|regedit.exe|msconfig.exe,unprotected systems|vulnerable VPN|brute force attack|install service|create archive|browse network|modify registry|remote encryption|MFA unavailable,,Yes - Internal only,External Remote Services,Data Encrypted for Impact,Staging,,,,,
United Kingdom,501-1000,ransomware,LockBit,2024-07,10,2024-08,2024-07,721647,112216,comped creds,unavailable|cleared,SoftPerfect Network Scanner|AdvancedRun|PC Hunter|GMER|mimikatz|TrueSightKiller|Amaterasu,RDP|cmd.exe|PowerShell|WMI|netstat.exe|Autoruns|reg.exe|PsExec,exposed RDP|MFA unavailable|disable protection|logs missing|vulnerable signed driver|ThreatFire sysmon driver|logs cleared|malicious scripts|EDR killer|modify registry|modify firewall rules|install service|browse network,,Yes - Both,External Remote Services|Valid Accounts,Data Encrypted for Impact,No evidence,,,,,
Canada,251-500,network breach,,2024-08,5,2024-08,2024-08,353680,78715,comped creds,,SoftPerfect Network Scanner|Cobalt Strike|mimikatz|KeePass|LaZagne|PC Hunter|Veeam mgmt software|Splashtop|PowerTool,RDP|notepad.exe|ping.exe|nslookup.exe|cmd.exe|netstat.exe|sqlcmd.exe|reg.exe|appcmd.exe,exposed RDP|Neshta|MFA unavailable|vulnerable systems|unprotected systems|browse network|Veeam pw dump|delete files,,Yes - Both,External Remote Services|Valid Accounts,Data Manipulation,No evidence,,,,,
United States of America,251-500,ransomware,Akira,2024-08,0,2024-08,,,,comped creds,encrypted,WinRAR,ping.exe|notepad.exe|RDP,encrypt hypervisor|MFA unavailable|logs missing|exposed RDP|exposed internal services|brute force attack|uninstall application|create archive|ESXi,,Yes - Internal only,External Remote Services,Data Encrypted for Impact,Staging,,,,,
Australia AEST (UTC+11),3001-5000,ransomware,RansomHub,2024-08,2,2024-08,2024-08,181097,5052,comped creds,unavailable,SoftPerfect Network Scanner|FileZilla|Atera RMM|WinSCP|Megasync|Chrome Browser|PuTTy|AnyDesk|Ngrok|EDRSandblast,RDP|cmd.exe|ntdsutil.exe|notepad.exe|logoff.exe|taskmgr.exe|mstsc.exe|mmc.exe|domain.msc|dsa.msc|PsExec|net.exe|ping.exe|Edge browser|msiexec.exe|attrib.exe|findstr.exe|openfiles.exe|reg.exe|taskkill.exe|regsvr32.exe|efsui.exe|UpdateTrustedSites.exe|w32tm.exe|PowerShell|tasklist.exe|shutdown.exe|rundll32.exe|mspaint.exe|WebDAV|route.exe|nslookup.exe|winword.exe|quser.exe|svchost.exe|MSASCui.exe|SystemSettings.exe|xcopy.exe|gpscript.exe,unprotected systems|remote encryption|Mega (all TLDs)|logs missing|global exclusions|install service|store passwords in plaintext|NTDS dump|create accounts|modify local groups|modify domain groups|SFTP|uninstall application|malicious scripts|browse network|stop process|update trusted sites|stop services|modify registry|delete registry keys|reset passwords|enable user|ESXi|add exclusions|disable protection|EDR killer|vulnerable signed driver|system hive collected|security hive collected|MFA unavailable,PsExec|Megasync,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Service Stop|Account Access Removal|System Shutdown/Reboot,Possible,,2024-08|2024-08,,,
United States of America,251-500,network breach,,2024-08,2,2024-08,2024-08,96879,103224,brute force attack,limited,Impacket/wmiexec|Python,cmd.exe|reg.exe|svchost.exe|WMI,MFA unavailable|logs missing|SAM dump|SMB|SAM dump|modify registry,4625-3,No,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Australia AWST (UTC+10),101-250,data exfiltration,Akira,2024-08,0,2024-08,2024-08,0,,exploit vulnerability,unavailable,Chrome Browser|WinRAR|Advanced IP Scanner,RDP|cmd.exe|notepad.exe|PowerShell|net.exe|systeminfo.exe|logoff.exe|fsquirt.exe|hostname.exe|ping.exe|SMRemoting.exe|runas|nslookup.exe|query.exe|quser.exe|esentutl.exe|del.exe|control.exe|ServerManager.exe|ipconfig.exe|taskmgr.exe,vulnerable VPN|logs missing|dump browser creds|MFA unavailable|create accounts|modify local groups|create archive|Mega (all TLDs)|delete files|modify registry|disable restricted admin,,Yes - Internal only,External Remote Services|Exploit Public-Facing Application,Data Encrypted for Impact|Data Manipulation,Yes,33.54,2024-08,20055,,113
United States of America,1001-3000,ransomware,Akira,2024-08,3,2024-08,2024-08,67684,180874,exploit vulnerability,unavailable|encrypted,Advanced IP Scanner|AnyDesk|Angry IP Scanner,RDP|cmd.exe|net.exe|mmc.exe|compmgmt.msc|route.exe|PowerShell|reg.exe,SonicWall vuln|CVE-2023-41715|logs missing|ESXi|encrypt hypervisor|vulnerable systems|unprotected systems|browse network|create security group|modify domain groups|delete Shadow Copy|modify registry|add application to safe mode|install service|MFA unavailable|delete files,,Yes - Internal only,Exploit Public-Facing Application|External Remote Services,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,No evidence,,,,,
Germany,101-250,ransomware,Fog,2024-08,1,2024-08,2024-08,886,89872,comped creds,unavailable|cleared,Rclone|SoftPerfect Network Scanner|SharpShares|CCleaner|VcenterKit,RDP|Task Scheduler|cmd.exe,logs missing|modify firewall rules|disable protection|browse network|logs cleared|create scheduled task,RDP|browse network|SoftPerfect Network Scanner|PowerShell|restic|disable protection|Veeam vulnerability|CVE-2023-27532|Python|delete files|logs missing,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,469,2024-08,69461,21297,34
United States of America,101-250,network breach,,2024-08,0,2024-08,,,,seo poisoning,,Cobalt Strike|BloodHound,svchost.exe,MFA unavailable|unprotected systems|brute force attack|create scheduled task,,No,Drive-by Compromise,No Impact,No evidence,,,,,
Portugal,1-100,ransomware,Qilin,2024-07,17,2024-08,2024-08,1220946,303309,comped creds,limited|cleared,,RDP|PowerShell|net.exe|Task Scheduler|cmd.exe|rundll32.exe|start.exe,MFA unavailable|logs missing|logs cleared|browse network|malicious scripts|create scheduled task|modify domain policies|delete task|disable protection,RDP,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,No evidence,,,,,
United States of America,251-500,ransomware,Fog,2024-08,7,2024-08,2024-08,26872,556959,comped creds,unavailable|cleared,Metasploit|PDQ Inventory|CloudFlared|FileZilla,RDP|WMI|PowerShell,MFA unavailable|logs missing|pass the hash|lsass dump|logs cleared|delete files|install service|Veeam pw dump|create accounts|browse network|SSH|disable protection,RDP|install service|PDQ Inventory,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation,Possible,,2024-08,176994,406837,
United States of America,1-100,ransomware,Cicada3301,2024-08,1,2024-08,2024-08,4309,59560,brute force attack,unavailable|cleared,ScreenConnect|Total Software Deployment|WinRAR|Advanced IP Scanner|Chrome Browser|WinSCP|PuTTy|7zip|Revo Uninstaller|Advanced IP Scanner|TreeSize|Firefox Browser|StorageCraft SPX|Total Network Inventory|recALL|FileZilla|Cygwin,RDP|cmd.exe|net.exe|taskmgr.exe|mstsc.exe|msiexec.exe|excel.exe|wordpad.exe|notepad.exe|regsvr32.exe|control.exe|mmc.exe|domain.msc|dsa.msc|regedit.exe|secpol.msc|gpmc.msc,vulnerable VPN|malicious scripts|logs missing|browse network|create archive|store passwords in plaintext|VMware vuln|CVE-2024-37085|CVE-2024-37086|install service|disable protection|logs cleared|SSH|browse network|reset passwords|modify local groups|MFA disabled|ESXi|modify registry|MFA unavailable,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Account Access Removal,Yes,,,,,
United States of America,101-250,ransomware,Akira,2024-08,1,2024-08,2024-08,0,65979,brute force attack,,Impacket/wmiexec|WinRAR|Chrome Browser|Python,cmd.exe|quser.exe|RDP|svchost.exe|taskmgr.exe|iexplore.exe|WMI,unprotected systems|exposed internal services|create archive|MFA unavailable,ping.exe|AnyDesk,Yes - Internal only,External Remote Services,Data Encrypted for Impact,Possible,,2024-08,,,
United States of America,1-100,network breach,,2024-08,0,2024-08,,,,comped creds,,,RDWeb|RDP|control.exe|mstsc.exe|PowerShell|nltest.exe|net.exe|mmc.exe|devmgmt.msc,exposed RDP|MFA unavailable,4625-3,Yes - Both,External Remote Services|Valid Accounts,No Impact,No evidence,,,,,
Canada,5000+,ransomware,Hunters Intl,2024-08,5,2024-08,,,,comped creds,unavailable,Impacket|Python,RDP|echo.exe|cmd.exe|net.exe|del.exe,tamper protection not configured|MFA unavailable|unprotected systems|malicious scripts|create accounts|modify local groups|delete files|logs missing,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation,Yes,,,,,
United States of America,251-500,ransomware,Fog,2024-08,3,2024-08,2024-08,0,241040,exploit vulnerability,unavailable,Impacket|Advanced Port Scanner|Python,cmd.exe|query.exe|RDP|systeminfo.exe|ie4uinit.exe|net.exe|qwinsta.exe|PowerShell|ping.exe|nslookup.exe|gpscript.exe,ESXi|logs missing|vulnerable VPN|unprotected systems|exposed internal services|SMB|enable TLS|disable SSL3|remote encryption|MFA unavailable,,Yes - Internal only,External Remote Services|Exploit Public-Facing Application,Data Encrypted for Impact,Yes,27,,,,
Colombia,501-1000,network breach,,2024-08,0,2024-08,2024-08,0,248,exploit vulnerability,,,sethc.exe|EaseOfAccessDialog.exe|PowerShell|nltest.exe|net.exe|quser.exe|whoami.exe,Citrix Netscaler ADC vuln (Citrix Bleed)|CVE-2023-4966|unprotected systems,,No,Exploit Public-Facing Application,No Impact,No evidence,,,,,
Italy,251-500,network breach,,2024-08,0,2024-08,,,,brute force attack,,Impacket|Python,cmd.exe|echo.exe|del.exe|whoami.exe|nltest.exe|net.exe,exposed internal services|brute force attack|malicious scripts|delete files|SMB,,No,External Remote Services,Data Manipulation,No evidence,,,,,
Egypt,101-250,network breach,,2024-08,10,2024-08,2024-08,919880,-12668,unknown,,Impacket|Python,PsExec|cmd.exe,install service|malicious scripts|SMB,,No,unknown,No Impact,No evidence,,,,,
United States of America,1001-3000,ransomware,Black Suit,2024-04,118,2024-08,2024-08,10187300,16179,comped creds,cleared,Ngrok|AnyDesk|WinRAR|mimikatz|Impacket/wmiexec|Python,RDP|svchost.exe|taskmgr.exe|rundll32.exe|cmd.exe|reg.exe|notepad.exe|PowerShell|nltest.exe|WMI,MFA unavailable|encrypt hypervisor|logs missing|logs cleared|SAM dump|lsass dump|ClearMyTracksByProcess|disable restricted admin|modify domain groups|disable protection|SystemBC RAT/Coroxy|create archive|kali (hostname),,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,90,2024-08,10192902,10577,
United States of America,251-500,network breach,,2024-08,0,2024-08,2024-08,179,5742,comped creds,,Veeam mgmt software|Chrome Browser|Atera RMM|Splashtop,RDP|cmd.exe|nslookup.exe|net.exe|mstsc.exe|ipconfig.exe|control.exe|mmc.exe|dnsmgmt.msc|nltest.exe|taskmgr.exe|msiexec.exe|OpenConsole.exe|ping.exe|gpscript.exe,exposed internal services|unprotected systems|stop services|install service|brute force attack,brute force attack,Yes - Internal only,External Remote Services|Valid Accounts,Service Stop,No evidence,,,,,
Indonesia,251-500,network breach,,2024-08,5,2024-08,,,,comped creds,unavailable|cleared,WinSCP|PuTTy|WinRAR|FileZilla|Splashtop|netcat|Keycloak|Python|TrueSightKiller,RDP|mstsc.exe|wevtutil.exe|findstr.exe|notepad.exe|winrm.exe|netstat.exe|net.exe|ipconfig.exe|reg.exe|ping.exe|cmd.exe,MFA unavailable|logs missing|logs cleared|browse network|system hive collected|SAM dump|create archive|SSH|EDR killer,,Yes - Internal only,Valid Accounts,No Impact,No evidence,,,,,
United States of America,1-100,ransomware,Fog,2024-08,10,2024-08,,,,comped creds,unavailable,Magnet DumpIt|TrueSightKiller|Chrome Browser,RDP|cmd.exe|svchost.exe|esentutl.exe|PowerShell|WMI|bcdedit.exe|sc.exe|net.exe|taskkill.exe|regsvr32.exe,MFA unavailable|logs missing|create archive|Mega (all TLDs)|SAM dump|disable protection|EDR killer|disable safe mode|stop services|stop process|delete files,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact|Data Manipulation|Service Stop|Inhibit System Recovery,Possible,,2024-08,164463,672694,
Canada,1-100,ransomware,Abyss,2024-08,0,2024-08,,,,unprotected host,,PDQ Inventory|PDQ Deploy,nltest.exe|cmd.exe|chcp.exe|gpupdate.exe|reg.exe|netsh.exe|vssadmin.exe|WMI|bcdedit.exe,tamper protection not configured|MFA unavailable|install service|malicious scripts|disable protection|modify registry|enable RDP|modify firewall rules|delete Shadow Copy|disable safe mode|delete files|unprotected systems,,Yes - Internal only,Trusted Relationship,Data Encrypted for Impact|Inhibit System Recovery|Data Manipulation,No evidence,,,,,
Italy,101-250,network breach,,2024-08,0,2024-08,2024-08,0,4019,unknown,disabled|cleared,Impacket/secretsdump|Python,svchost.exe|cmd.exe|PowerShell|wevtutil.exe|Get-ADComputer,protection out of date|unprotected systems|logs missing|vulnerable systems|exposed internal services|SAM dump|delete files|logs cleared,,No,unknown,Data Manipulation,No evidence,,,,,
United States of America,101-250,network breach,,2024-08,0,2024-08,,,,drive-by,limited,Cobalt Strike,wscript.exe|PowerShell|cmd.exe|net.exe|ipconfig.exe|nltest.exe|cmd.exe|systeminfo.exe|quser.exe|svchost.exe,logs missing|SAM dump,,No,Drive-by Compromise,No Impact,No evidence,,,,,
Canada,1-100,network breach,,2024-08,0,2024-08,2024-08,0,7400,unprotected host,,Impacket/wmiexec|WinRAR|Chrome Browser|Firefox Browser|Sophos Virus Removal Tool|Python,RDP|PowerShell|logoff.exe|cmd.exe|ping.exe|PsExec|reg.exe|notepad.exe|taskmgr.exe|mmc.exe|dsa.msc|net.exe|control.exe|mspaint.exe|WMI,unprotected systems|MFA unavailable|SystemBC RAT/Coroxy|remove protection|uninstall application|install service|modify registry|disable restricted admin|enable RDP|modify firewall rules|speedtest.net|create archive|browse network|lsass dump|delete files|eol systems,,Yes - Internal only,unknown,Data Manipulation,Yes,,2024-08,,,
Indonesia,251-500,unknown,,2024-08,0,2024-08,2024-08,0,10086,brute force attack,,mimikatz,RDP|notepad.exe|cmd.exe|hostname.exe|ping.exe|PowerShell|certutil.exe|netstat.exe|appcmd.exe,MFA unavailable|brute force attack,,Yes - Internal only,External Remote Services,No Impact,No evidence,,,,,
United Arab Emirates,3001-5000,data exfiltration,Unknown,2024-08,4,2024-08,2024-08,332603,9451,comped creds,,PuTTy,winrs.exe|cmd.exe|netstat.exe|ping.exe|quser.exe|net.exe|tasklist.exe|expand.exe|svchost.exe|sc.exe|ipconfig.exe|systeminfo.exe|excel.exe|findstr.exe|netsh.exe|start.exe|dllhost.exe|WMI|reg.exe|curl.exe|find.exe|RDP,MFA unavailable|exposed RDP|brute force attack|install service|modify registry|delete files|delete service|create archive|store passwords in plaintext|malicious scripts|browse network,,Yes - Internal only,External Remote Services|Valid Accounts,Service Stop|Data Manipulation,Yes,,,,,
United States of America,251-500,network breach,,2024-08,13,2024-08,2024-08,0,,comped creds,unavailable,Impacket/atexec|PuTTy|Impacket/smbexec|PetitPotam|AnyDesk|Python,RDP|cmd.exe|whoami.exe|systeminfo.exe|netstat.exe|tasklist.exe|PowerShell|netsh.exe|quser.exe|certutil.exe|svchost.exe|Task Scheduler|net.exe|query.exe|sc.exe|notepad.exe|copy.exe|rundll32.exe|ipconfig.exe|ping.exe|winget.exe,brute force attack|logs missing|pass the hash|browse network|malicious scripts|delete files|SAM dump|create scheduled task|delete task|install service|credential manager enumerated|modify local groups|create accounts|enable user|reset passwords|add exclusions|netsh portproxy|kali (hostname),,Yes - Internal only,External Remote Services|Valid Accounts,Data Manipulation|Account Access Removal,No evidence,,,,,
United States of America,501-1000,network breach,,2024-09,0,2024-09,,,,exploit vulnerability,retention,NanoDump,svchost.exe|cmd.exe|tasklist.exe|rundll32.exe|comsvcs.dll|find.exe|findstr.exe|ProcDump,vulnerable VPN|logs missing|SAM dump|lsass dump|install service,,No,External Remote Services|Exploit Public-Facing Application,No Impact,No evidence,,,,,
Canada,101-250,ransomware,Akira,2024-08,20,2024-09,2024-08,260,1669033,comped creds,limited|retention,TeamViewer|Chrome Browser|7zip|FileZilla|Rclone|RemCom|Atera RMM|Splashtop,RDP|svchost.exe|notepad.exe|cmd.exe,logs missing|MFA unavailable|ESXi|encrypt vmdk/vhdx|brute force attack|AD Auth vuln|CVE-2021-42287|install service|create archive|SSH|unprotected systems,,Yes - Internal only,External Remote Services|Valid Accounts,Data Encrypted for Impact,Yes,,2024-08,,,25
